code|name|continent|region
AFG|Afghanistan|Asia|Southern and Central Asia
NLD|Netherlands|Europe|Western Europe
ABW|Aruba|North America|Caribbean
ALB|Albania|Europe|Southern Europe
AND|Andorra|Europe|Southern Europe
ARE|United Arab Emirates|Asia|Middle East
ARM|Armenia|Asia|Middle East
AZE|Azerbaijan|Asia|Middle East
BEN|Benin|Africa|Western Africa
BMU|Bermuda|North America|North America
BTN|Bhutan|Asia|Southern and Central Asia
BOL|Bolivia|South America|South America
BIH|Bosnia and Herzegovina|Europe|Southern Europe
BWA|Botswana|Africa|Southern Africa
BRA|Brazil|South America|South America
GBR|United Kingdom|Europe|British Islands
VGB|Virgin Islands, British|North America|Caribbean
BHR|Bahrain|Asia|Middle East
BGD|Bangladesh|Asia|Southern and Central Asia
BEL|Belgium|Europe|Western Europe
BTN|Bhutan|Asia|Southern and Central Asia
BIH|Bosnia and Herzegovina|Europe|Southern Europe
GBR|United Kingdom|Europe|British Islands
BRN|Brunei|Asia|Southeast Asia
BGR|Bulgaria|Europe|Eastern Europe
ESP|Spain|Europe|Southern Europe
PHL|Philippines|Asia|Southeast Asia
FRO|Faroe Islands|Europe|Nordic Countries
GEO|Georgia|Asia|Middle East
TMP|East Timor|Asia|Southeast Asia
